hole,comm,history,fold,stay-in,raise
4h 9h ,5s 7c 4s ,ssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,ssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,srsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,srssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,srsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,srsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c 9s ,rsssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rsrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rsrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,rsrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,rsrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rrsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,rrssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,rrsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s ,rrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,,s,0.09363242906514063,0.4322815144976929,0.47408605643716645
5h 6c ,6s 9h 9d 2c 2h ,sssss,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h ,sssssss,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d Ks ,ssssssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d Ks ,ssssssssrrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,sssssssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d Ks ,sssssssrsrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,sssssssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d Ks ,sssssssrrsr,0.33333333333333337,0.33333333333333337,0.33333333333333337
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,sssssssrrrs,0.33333333333333337,0.33333333333333337,0.33333333333333337
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,sssssssrrrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
5h 6c ,6s 9h 9d 2c 2h 8d 7h ,ssssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,ssssssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h 4d ,ssssssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
5h 6c ,6s 9h 9d 2c 2h 8d 7h ,ssssssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
